               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.043869,            0.015249,            0.020297,             0.47874,             0.48505,             0.44388,             0.18901,            0.047944,             0.01142,            0.010809,           0.0096634,           0.0096634,           0.0096634
                  36,            0.042823,            0.016299,            0.018672,             0.31741,             0.68011,             0.51584,             0.29218,            0.038747,            0.010015,            0.011607,           0.0096535,           0.0096535,           0.0096535
                  37,            0.040041,            0.014737,            0.018504,             0.37536,              0.7245,             0.55489,             0.29775,            0.041425,           0.0099349,           0.0094912,           0.0096436,           0.0096436,           0.0096436
                  38,            0.040831,            0.014185,            0.018394,             0.69695,             0.46458,             0.48174,              0.2305,            0.041413,            0.011666,            0.013827,           0.0096337,           0.0096337,           0.0096337
                  39,            0.040917,              0.0145,            0.017811,             0.49616,             0.55416,              0.5488,             0.27087,            0.037596,            0.010855,             0.01175,           0.0096238,           0.0096238,           0.0096238
                  40,            0.039103,            0.015288,            0.016253,             0.72692,             0.48798,             0.54497,             0.24739,            0.042113,            0.011146,            0.014006,           0.0096139,           0.0096139,           0.0096139
                  41,            0.038387,            0.014186,             0.01675,             0.70112,             0.46366,             0.45215,             0.23732,            0.042142,            0.013382,            0.010371,            0.009604,            0.009604,            0.009604
                  42,            0.039694,            0.014039,            0.018293,             0.75372,               0.529,              0.5831,             0.33178,            0.042124,            0.010402,            0.010004,           0.0095941,           0.0095941,           0.0095941
                  43,            0.038505,            0.014281,            0.015328,             0.88172,             0.53219,             0.61879,             0.31818,            0.041719,           0.0088954,           0.0090912,           0.0095842,           0.0095842,           0.0095842
                  44,             0.03835,            0.013597,            0.015828,              0.6335,             0.61851,             0.64973,             0.33608,             0.03528,           0.0091977,           0.0082043,           0.0095743,           0.0095743,           0.0095743
                  45,            0.037188,            0.012945,            0.017934,             0.83795,              0.4849,             0.61417,             0.30769,            0.040332,           0.0096931,            0.007766,           0.0095644,           0.0095644,           0.0095644
                  46,            0.036455,            0.013478,            0.014974,             0.47763,             0.63445,             0.61422,             0.31181,             0.03766,           0.0087523,           0.0098379,           0.0095545,           0.0095545,           0.0095545
                  47,             0.03905,             0.01332,            0.015209,             0.42908,             0.62702,             0.57524,             0.31383,            0.036935,            0.009325,           0.0099741,           0.0095446,           0.0095446,           0.0095446
                  48,            0.037271,            0.013337,            0.013494,             0.35017,             0.60012,             0.45862,             0.22581,            0.044691,            0.012775,             0.01581,           0.0095347,           0.0095347,           0.0095347
                  49,            0.035205,            0.013755,            0.014037,             0.53687,             0.74047,             0.66836,             0.33393,            0.035909,           0.0097456,            0.011224,           0.0095248,           0.0095248,           0.0095248
                  50,            0.035541,             0.01427,            0.014035,             0.58234,             0.73245,             0.76507,             0.45219,            0.033735,           0.0091882,           0.0082695,           0.0095149,           0.0095149,           0.0095149
                  51,            0.036575,            0.011744,            0.011417,             0.59946,             0.65503,             0.67504,             0.32578,             0.03815,           0.0083103,           0.0078587,            0.009505,            0.009505,            0.009505
                  52,            0.035493,            0.012093,             0.01255,             0.88967,             0.51407,             0.64951,             0.37441,            0.037684,           0.0078726,            0.010245,           0.0094951,           0.0094951,           0.0094951
                  53,            0.036312,            0.011773,            0.012559,             0.57683,             0.66014,             0.64896,             0.28141,            0.037874,           0.0080428,           0.0087473,           0.0094852,           0.0094852,           0.0094852
                  54,            0.035761,            0.012828,            0.012097,             0.80575,              0.6738,              0.7812,             0.39129,            0.040764,           0.0081434,            0.006411,           0.0094753,           0.0094753,           0.0094753
                  55,            0.034383,            0.012819,             0.01163,              0.7695,             0.76169,             0.81023,             0.43221,            0.033457,           0.0073242,           0.0075786,           0.0094654,           0.0094654,           0.0094654
                  56,            0.034129,            0.012562,            0.010428,             0.80062,             0.78513,             0.86232,             0.48527,            0.036307,           0.0074754,           0.0057495,           0.0094555,           0.0094555,           0.0094555
                  57,            0.034302,            0.011794,             0.01232,             0.79284,             0.78821,             0.83812,             0.45903,            0.035039,           0.0084548,           0.0061586,           0.0094456,           0.0094456,           0.0094456
                  58,            0.034226,            0.012654,            0.011342,             0.90143,             0.72814,             0.87951,             0.54155,            0.030989,           0.0085344,           0.0053844,           0.0094357,           0.0094357,           0.0094357
                  59,            0.034376,            0.011518,           0.0096767,             0.87752,              0.7671,             0.87614,             0.42378,            0.034104,           0.0075083,           0.0068316,           0.0094258,           0.0094258,           0.0094258
                  60,            0.033861,             0.01197,            0.010942,             0.83538,             0.79813,              0.9034,              0.4753,            0.032218,           0.0074902,           0.0045934,           0.0094159,           0.0094159,           0.0094159
                  61,            0.035524,            0.011607,           0.0093742,             0.86514,             0.80177,             0.91404,             0.45631,             0.03696,           0.0073843,           0.0052434,            0.009406,            0.009406,            0.009406
                  62,            0.033771,            0.011193,            0.010042,             0.87139,             0.74556,             0.88272,             0.45715,            0.033066,           0.0074592,           0.0088062,           0.0093961,           0.0093961,           0.0093961
                  63,            0.032229,            0.011397,            0.010241,             0.91898,             0.74912,             0.89996,             0.51032,            0.035286,           0.0077486,           0.0059017,           0.0093862,           0.0093862,           0.0093862
                  64,             0.03291,            0.011395,            0.011909,             0.82787,             0.76575,             0.85877,              0.4549,            0.035692,           0.0086617,           0.0060356,           0.0093763,           0.0093763,           0.0093763
                  65,            0.034253,            0.011791,            0.010259,               0.889,             0.81986,             0.91534,             0.56204,            0.030649,             0.00775,           0.0044377,           0.0093664,           0.0093664,           0.0093664
                  66,             0.03315,            0.011902,           0.0094588,             0.92575,             0.82682,             0.94182,             0.59956,             0.02881,           0.0067883,            0.003891,           0.0093565,           0.0093565,           0.0093565
                  67,            0.032669,            0.011874,           0.0098749,             0.94234,             0.87535,             0.93855,             0.57931,            0.031083,           0.0069513,           0.0041016,           0.0093466,           0.0093466,           0.0093466
                  68,            0.030721,            0.010484,            0.010739,             0.88972,             0.88099,             0.92196,             0.57531,             0.03305,           0.0066695,           0.0039974,           0.0093367,           0.0093367,           0.0093367
                  69,            0.031058,            0.010785,           0.0086646,              0.8166,             0.81276,             0.86406,             0.49806,            0.036149,           0.0076985,           0.0093533,           0.0093268,           0.0093268,           0.0093268
                  70,            0.032198,            0.010802,           0.0089606,             0.88659,             0.87382,             0.92203,             0.57269,            0.029115,           0.0080171,           0.0065638,           0.0093169,           0.0093169,           0.0093169
                  71,            0.032913,            0.011266,           0.0094731,             0.91486,             0.82669,             0.91634,             0.44189,             0.03632,            0.006999,            0.005179,            0.009307,            0.009307,            0.009307
                  72,            0.031256,            0.010776,            0.010049,             0.86022,             0.88052,             0.93193,             0.60009,            0.027928,           0.0064626,           0.0063303,           0.0092971,           0.0092971,           0.0092971
                  73,            0.032723,            0.011227,           0.0090899,             0.90524,             0.88027,             0.95139,             0.57278,            0.030635,           0.0068092,           0.0046638,           0.0092872,           0.0092872,           0.0092872
                  74,            0.029987,            0.010823,           0.0074357,             0.89313,             0.86175,             0.91114,             0.58973,            0.028345,           0.0071471,           0.0047888,           0.0092773,           0.0092773,           0.0092773
                  75,            0.031463,            0.011625,           0.0098993,              0.9176,             0.80344,             0.92728,             0.51526,            0.033587,           0.0070367,           0.0062302,           0.0092674,           0.0092674,           0.0092674
                  76,               0.031,            0.010818,           0.0088552,             0.95956,             0.83438,             0.93882,             0.55346,            0.029221,           0.0067844,           0.0036053,           0.0092575,           0.0092575,           0.0092575
                  77,            0.031546,            0.010971,             0.01054,             0.87662,             0.85058,             0.93072,             0.57597,            0.028312,           0.0072198,           0.0043622,           0.0092476,           0.0092476,           0.0092476
                  78,            0.031965,            0.011133,           0.0077609,             0.88739,             0.81946,             0.92055,             0.51294,            0.030959,           0.0072856,           0.0043579,           0.0092377,           0.0092377,           0.0092377
                  79,            0.028891,            0.010064,           0.0077226,             0.84704,             0.82822,             0.91017,             0.47183,             0.03472,           0.0074263,           0.0044681,           0.0092278,           0.0092278,           0.0092278
                  80,            0.030761,            0.010696,           0.0081388,             0.92507,              0.8849,             0.94628,             0.63907,            0.027422,           0.0065594,           0.0040665,           0.0092179,           0.0092179,           0.0092179
                  81,            0.030051,            0.010469,           0.0078412,             0.87086,              0.9044,             0.92638,             0.55269,            0.028615,           0.0063612,           0.0068599,            0.009208,            0.009208,            0.009208
                  82,             0.03113,            0.011209,           0.0094244,             0.89047,             0.88683,             0.91295,             0.54437,            0.029119,           0.0065887,           0.0058405,           0.0091981,           0.0091981,           0.0091981
                  83,            0.029468,             0.01028,           0.0081404,             0.93828,             0.88761,             0.94842,             0.60914,            0.028723,           0.0069745,            0.005514,           0.0091882,           0.0091882,           0.0091882
                  84,            0.029843,             0.01044,           0.0067022,             0.88783,             0.91594,             0.94879,             0.62007,            0.028241,           0.0066853,           0.0041227,           0.0091783,           0.0091783,           0.0091783
                  85,            0.028906,            0.010417,           0.0076536,             0.88167,             0.92148,             0.94918,             0.57692,            0.029575,           0.0063939,           0.0035683,           0.0091684,           0.0091684,           0.0091684
                  86,            0.030256,            0.010756,           0.0068772,             0.96564,             0.86927,             0.96482,             0.63433,            0.027533,           0.0063505,             0.00379,           0.0091585,           0.0091585,           0.0091585
                  87,            0.029428,            0.010282,           0.0067881,             0.88506,             0.86447,             0.90896,             0.60407,            0.028548,           0.0062528,            0.004513,           0.0091486,           0.0091486,           0.0091486
                  88,             0.03027,            0.010808,           0.0089574,             0.95128,             0.81495,             0.91239,             0.60537,            0.026986,           0.0062466,           0.0050291,           0.0091387,           0.0091387,           0.0091387
                  89,            0.028035,            0.010031,           0.0073458,             0.85009,             0.90698,             0.93368,             0.62751,             0.03021,           0.0065236,           0.0058019,           0.0091288,           0.0091288,           0.0091288
                  90,            0.030663,            0.010326,           0.0069243,             0.92966,             0.80125,             0.91818,             0.58252,             0.02977,           0.0063548,           0.0063151,           0.0091189,           0.0091189,           0.0091189
                  91,            0.029203,           0.0096626,           0.0088046,             0.83372,             0.92006,             0.93302,             0.62228,            0.027141,            0.006844,           0.0047088,            0.009109,            0.009109,            0.009109
                  92,            0.030155,            0.010538,           0.0071691,             0.92133,             0.82991,             0.92909,             0.53466,            0.032042,           0.0062804,           0.0038309,           0.0090991,           0.0090991,           0.0090991
                  93,            0.029155,            0.010107,            0.006123,             0.88041,             0.88339,             0.90489,             0.57715,            0.028333,           0.0061789,           0.0039936,           0.0090892,           0.0090892,           0.0090892
                  94,            0.028355,            0.008964,           0.0065478,             0.91736,             0.89838,              0.9482,              0.5753,            0.027812,           0.0065899,           0.0046283,           0.0090793,           0.0090793,           0.0090793
                  95,            0.028486,            0.010905,           0.0075772,             0.90515,             0.91432,             0.94521,             0.67816,            0.025312,           0.0061951,           0.0050875,           0.0090694,           0.0090694,           0.0090694
                  96,            0.028968,           0.0094502,           0.0095759,             0.92624,             0.86976,                0.95,             0.60368,             0.02541,           0.0061998,           0.0055524,           0.0090595,           0.0090595,           0.0090595
                  97,            0.026616,            0.009677,           0.0065988,             0.90272,             0.86887,             0.93171,             0.62163,            0.028207,           0.0064902,            0.006762,           0.0090496,           0.0090496,           0.0090496
                  98,            0.028153,           0.0099545,           0.0066289,             0.89541,             0.85021,             0.91797,             0.60961,             0.02739,           0.0068288,           0.0066888,           0.0090397,           0.0090397,           0.0090397
                  99,            0.028624,           0.0092868,           0.0077103,             0.94477,             0.90445,             0.95015,             0.62003,            0.026289,           0.0062425,           0.0036212,           0.0090298,           0.0090298,           0.0090298
                 100,            0.028235,           0.0095618,           0.0073667,             0.89284,             0.87031,             0.93607,             0.63145,            0.027745,           0.0062041,           0.0039546,           0.0090199,           0.0090199,           0.0090199
                 101,            0.028262,           0.0092623,            0.007462,             0.93884,             0.87405,             0.95663,             0.61131,            0.026062,            0.006222,           0.0034169,             0.00901,             0.00901,             0.00901
                 102,            0.027621,           0.0097702,           0.0059987,              0.9587,             0.85609,              0.9454,             0.65327,            0.025489,           0.0061927,           0.0060103,           0.0090001,           0.0090001,           0.0090001
                 103,            0.027734,           0.0093344,           0.0059421,             0.90483,              0.9142,             0.95128,             0.62872,            0.029111,           0.0060611,           0.0036189,           0.0089902,           0.0089902,           0.0089902
                 104,            0.027815,           0.0098023,           0.0058641,             0.87516,             0.79439,              0.8753,              0.5667,            0.029166,           0.0061002,            0.007049,           0.0089803,           0.0089803,           0.0089803
                 105,            0.027103,           0.0096329,           0.0077575,             0.90658,             0.86534,             0.94876,               0.681,            0.025275,           0.0063906,           0.0042569,           0.0089704,           0.0089704,           0.0089704
                 106,            0.027515,           0.0088783,           0.0055174,             0.94714,             0.87676,             0.95684,             0.66457,            0.025902,            0.005872,           0.0042111,           0.0089605,           0.0089605,           0.0089605
                 107,            0.027588,           0.0099775,           0.0065254,             0.91145,             0.89104,             0.96275,             0.64537,            0.028217,           0.0061276,           0.0038987,           0.0089506,           0.0089506,           0.0089506
                 108,            0.027979,            0.009123,           0.0062613,              0.9561,             0.86588,             0.95128,             0.62359,            0.028535,           0.0068388,           0.0040226,           0.0089407,           0.0089407,           0.0089407
                 109,            0.028492,            0.010208,           0.0067983,             0.93392,             0.93116,             0.96087,             0.68294,            0.025756,           0.0064342,           0.0050291,           0.0089308,           0.0089308,           0.0089308
                 110,            0.026707,           0.0098355,           0.0064485,             0.94452,              0.9084,             0.96573,             0.68742,            0.026289,           0.0062814,           0.0042373,           0.0089209,           0.0089209,           0.0089209
                 111,            0.028493,            0.009424,           0.0067395,             0.96941,             0.90781,             0.96848,             0.61731,            0.028558,           0.0062065,           0.0044263,            0.008911,            0.008911,            0.008911
                 112,             0.02819,           0.0095764,           0.0077809,             0.91233,             0.94379,             0.97075,             0.65446,            0.026256,           0.0061219,           0.0029072,           0.0089011,           0.0089011,           0.0089011
                 113,            0.028225,            0.010197,           0.0065574,             0.90298,              0.9574,             0.97601,             0.60753,            0.025909,           0.0061593,           0.0031211,           0.0088912,           0.0088912,           0.0088912
                 114,            0.026566,           0.0092598,           0.0059916,             0.95186,             0.91889,             0.97272,             0.71468,            0.023618,           0.0060737,           0.0038939,           0.0088813,           0.0088813,           0.0088813
