               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038943,            0.013504,           0.0046247,             0.97086,             0.86937,             0.91929,             0.54102,            0.030318,           0.0058559,           0.0011579,           0.0099327,           0.0099327,           0.0099327
                  36,            0.038638,            0.013544,           0.0045557,             0.93514,             0.86616,             0.90968,             0.56997,            0.029192,           0.0058881,           0.0015332,           0.0099307,           0.0099307,           0.0099307
                  37,            0.038034,            0.013416,           0.0044395,             0.93584,               0.841,             0.89205,             0.51982,            0.032739,            0.005782,           0.0019742,           0.0099287,           0.0099287,           0.0099287
                  38,            0.037823,            0.013073,           0.0044622,             0.91711,             0.82357,             0.89327,             0.52716,            0.032301,            0.005916,           0.0012458,           0.0099267,           0.0099267,           0.0099267
                  39,            0.037862,            0.013022,            0.004276,             0.94828,             0.87519,             0.93168,             0.56567,            0.030502,           0.0056455,            0.001256,           0.0099248,           0.0099248,           0.0099248
                  40,            0.036693,            0.012382,           0.0037305,             0.89952,             0.89822,              0.9283,             0.54676,             0.02984,           0.0058182,           0.0009985,           0.0099228,           0.0099228,           0.0099228
                  41,            0.038172,            0.012899,           0.0036359,             0.92832,              0.8773,             0.91315,             0.56641,            0.029375,           0.0057147,           0.0010426,           0.0099208,           0.0099208,           0.0099208
                  42,            0.036471,            0.012603,           0.0034204,             0.96509,             0.85697,             0.90985,             0.52895,            0.030913,            0.005435,          0.00095553,           0.0099188,           0.0099188,           0.0099188
                  43,            0.037068,            0.012301,           0.0037301,             0.93968,              0.9042,             0.93087,             0.57913,            0.027862,           0.0056844,          0.00058658,           0.0099168,           0.0099168,           0.0099168
                  44,             0.03656,            0.012846,           0.0036147,             0.92802,             0.88113,             0.91323,              0.5612,            0.030229,           0.0056123,            0.001159,           0.0099149,           0.0099149,           0.0099149
                  45,             0.03623,            0.012453,           0.0041404,             0.92302,             0.89926,             0.92786,             0.58067,            0.028064,           0.0057911,           0.0012128,           0.0099129,           0.0099129,           0.0099129
                  46,            0.035597,            0.012445,            0.003731,             0.95744,             0.85362,             0.92288,             0.60351,            0.026355,            0.005363,          0.00057652,           0.0099109,           0.0099109,           0.0099109
                  47,            0.035847,            0.012548,            0.003847,             0.93169,             0.85335,             0.91433,             0.56484,            0.027347,            0.005501,           0.0008549,           0.0099089,           0.0099089,           0.0099089
                  48,            0.035942,            0.012299,           0.0037946,             0.96758,             0.88561,             0.94593,             0.59168,            0.027768,           0.0053605,           0.0007676,           0.0099069,           0.0099069,           0.0099069
                  49,            0.035669,            0.012484,           0.0032603,             0.93635,             0.88298,             0.92365,             0.55111,            0.029913,           0.0054041,          0.00078773,            0.009905,            0.009905,            0.009905
                  50,            0.035698,            0.012072,           0.0037742,              0.9336,             0.91248,             0.93065,             0.60583,            0.026716,           0.0054029,          0.00055166,            0.009903,            0.009903,            0.009903
                  51,             0.03532,            0.012122,           0.0035819,             0.91084,              0.8748,             0.90196,              0.5172,            0.032362,           0.0056799,           0.0029163,            0.009901,            0.009901,            0.009901
                  52,            0.035122,            0.011963,           0.0033434,             0.95328,              0.9032,             0.92695,             0.56474,            0.028799,           0.0051645,           0.0011096,            0.009899,            0.009899,            0.009899
                  53,            0.034686,             0.01188,           0.0036277,             0.93672,             0.87772,             0.91188,             0.58776,            0.027314,           0.0052991,           0.0012699,            0.009897,            0.009897,            0.009897
                  54,            0.034259,            0.011661,            0.003498,             0.93303,             0.88538,             0.92791,              0.5906,            0.027741,           0.0052288,           0.0010105,           0.0098951,           0.0098951,           0.0098951
                  55,            0.034283,             0.01156,            0.003558,             0.94858,             0.90922,             0.92416,             0.56919,            0.031835,           0.0053148,          0.00089444,           0.0098931,           0.0098931,           0.0098931
                  56,            0.035055,            0.011843,           0.0032671,             0.95136,             0.88007,             0.94623,             0.61834,            0.027169,           0.0051413,          0.00069657,           0.0098911,           0.0098911,           0.0098911
                  57,            0.034468,            0.012299,           0.0035951,             0.95136,               0.905,             0.93817,             0.59879,            0.026782,           0.0052052,          0.00094179,           0.0098891,           0.0098891,           0.0098891
                  58,            0.033784,            0.011639,           0.0032183,             0.94268,             0.89392,              0.9256,             0.63041,            0.025992,           0.0049222,          0.00057145,           0.0098871,           0.0098871,           0.0098871
                  59,            0.033687,            0.011646,            0.003307,             0.96702,              0.8782,             0.91828,             0.59549,            0.027607,           0.0052561,          0.00099682,           0.0098852,           0.0098852,           0.0098852
                  60,            0.034578,            0.011461,           0.0032554,             0.94526,             0.87672,             0.92368,             0.58555,            0.027873,           0.0053972,           0.0018789,           0.0098832,           0.0098832,           0.0098832
                  61,            0.033607,            0.011246,           0.0032196,             0.94672,             0.89163,              0.9201,             0.60162,            0.027244,            0.005013,           0.0010152,           0.0098812,           0.0098812,           0.0098812
                  62,            0.032565,            0.011382,           0.0028744,             0.96278,             0.86198,             0.92472,             0.61793,            0.026862,           0.0050127,          0.00097168,           0.0098792,           0.0098792,           0.0098792
                  63,            0.032858,            0.011472,           0.0027409,             0.94233,             0.88155,             0.91536,             0.61337,            0.026584,           0.0053062,           0.0010787,           0.0098772,           0.0098772,           0.0098772
                  64,            0.033169,            0.011532,           0.0028644,             0.93933,             0.86866,             0.91627,             0.60919,            0.026347,           0.0049318,           0.0019494,           0.0098753,           0.0098753,           0.0098753
                  65,            0.033022,            0.011225,           0.0031842,              0.9672,             0.85191,             0.91406,             0.59668,            0.026182,           0.0052365,          0.00050635,           0.0098733,           0.0098733,           0.0098733
                  66,            0.032558,            0.010942,           0.0029581,             0.93196,             0.90907,             0.93854,             0.61204,            0.026565,             0.00471,           0.0012387,           0.0098713,           0.0098713,           0.0098713
                  67,            0.032862,            0.011194,           0.0029905,             0.94925,             0.90645,             0.94746,             0.61618,            0.026375,           0.0049417,          0.00086928,           0.0098693,           0.0098693,           0.0098693
                  68,            0.032818,            0.011008,            0.002904,             0.92797,             0.91338,              0.9323,             0.60629,            0.026176,           0.0048247,          0.00094806,           0.0098673,           0.0098673,           0.0098673
                  69,            0.032182,            0.011365,           0.0026823,             0.95725,             0.90961,             0.93454,             0.61979,            0.027191,           0.0049976,          0.00065991,           0.0098654,           0.0098654,           0.0098654
                  70,               0.032,             0.01128,           0.0033139,             0.95217,              0.9042,             0.93039,             0.64221,            0.024943,           0.0047211,          0.00083698,           0.0098634,           0.0098634,           0.0098634
                  71,            0.032042,            0.011549,           0.0027205,             0.87954,             0.91175,              0.9138,             0.58041,            0.025503,           0.0051092,           0.0011464,           0.0098614,           0.0098614,           0.0098614
                  72,             0.03192,            0.011706,           0.0031512,             0.95789,             0.90578,             0.94332,             0.62273,            0.026442,           0.0048331,          0.00053842,           0.0098594,           0.0098594,           0.0098594
                  73,            0.032292,            0.011167,           0.0032103,             0.95361,              0.9182,             0.95189,             0.63477,            0.024737,           0.0046749,            0.001388,           0.0098574,           0.0098574,           0.0098574
                  74,            0.032783,            0.011321,           0.0026427,              0.9561,             0.92265,             0.94847,             0.62857,            0.026087,           0.0046558,           0.0010923,           0.0098555,           0.0098555,           0.0098555
                  75,            0.031974,             0.01098,           0.0021545,             0.97036,             0.90996,             0.95039,             0.65363,            0.024401,           0.0046803,          0.00089138,           0.0098535,           0.0098535,           0.0098535
                  76,            0.031804,            0.011003,           0.0022318,             0.93667,              0.9285,             0.95458,             0.63533,            0.026383,           0.0048282,          0.00059452,           0.0098515,           0.0098515,           0.0098515
                  77,            0.031412,            0.010905,           0.0027122,             0.95986,             0.93609,             0.95352,             0.61531,            0.026738,           0.0046088,          0.00032534,           0.0098495,           0.0098495,           0.0098495
                  78,             0.03148,            0.010499,           0.0027512,             0.96464,             0.90008,             0.94981,             0.64423,            0.024465,           0.0047069,          0.00056913,           0.0098475,           0.0098475,           0.0098475
                  79,            0.031482,            0.010729,           0.0023665,             0.97537,             0.90919,             0.94631,             0.64358,             0.02533,           0.0046765,          0.00049567,           0.0098456,           0.0098456,           0.0098456
                  80,            0.031314,            0.011095,            0.002691,             0.96299,             0.89982,             0.94167,             0.61634,            0.026162,           0.0049796,          0.00083454,           0.0098436,           0.0098436,           0.0098436
                  81,            0.031151,               0.011,           0.0024283,             0.95821,             0.91153,             0.93036,             0.63416,            0.026179,           0.0047032,          0.00057877,           0.0098416,           0.0098416,           0.0098416
                  82,            0.032406,            0.010941,           0.0028466,             0.93671,             0.91208,             0.94556,             0.64497,            0.024713,           0.0046879,          0.00057925,           0.0098396,           0.0098396,           0.0098396
                  83,            0.030155,             0.01083,           0.0024002,             0.93517,             0.91525,             0.94483,             0.64884,            0.025038,           0.0049143,          0.00027601,           0.0098376,           0.0098376,           0.0098376
                  84,            0.031267,            0.011209,           0.0028348,             0.96537,             0.91193,             0.94519,             0.60982,            0.025785,           0.0046269,           0.0016293,           0.0098357,           0.0098357,           0.0098357
                  85,            0.031872,            0.011062,           0.0031344,             0.93758,             0.93279,             0.95671,             0.63717,            0.025193,           0.0045182,          0.00039479,           0.0098337,           0.0098337,           0.0098337
                  86,            0.031266,            0.011063,            0.002803,             0.93028,             0.92817,             0.95772,             0.64093,            0.024581,           0.0045812,          0.00051433,           0.0098317,           0.0098317,           0.0098317
                  87,            0.031173,            0.011028,           0.0025767,             0.95637,             0.92379,             0.94396,             0.63382,            0.024867,           0.0046071,          0.00083867,           0.0098297,           0.0098297,           0.0098297
                  88,             0.03042,            0.010476,           0.0022074,             0.93335,             0.95154,             0.95674,             0.66643,            0.023239,           0.0045547,           0.0007459,           0.0098277,           0.0098277,           0.0098277
                  89,            0.030526,            0.010263,           0.0022847,             0.92866,             0.93073,              0.9483,             0.64133,            0.025236,           0.0045594,          0.00035261,           0.0098258,           0.0098258,           0.0098258
                  90,            0.030726,            0.010422,           0.0021094,             0.95651,             0.93582,             0.95454,             0.63398,            0.025093,           0.0045588,          0.00042589,           0.0098238,           0.0098238,           0.0098238
                  91,             0.03099,            0.010285,           0.0023639,             0.96998,             0.89681,             0.95456,             0.64684,            0.024518,           0.0047737,          0.00043917,           0.0098218,           0.0098218,           0.0098218
                  92,            0.030058,            0.010544,           0.0021912,              0.9491,             0.93283,             0.94722,             0.62945,            0.025533,           0.0046388,          0.00043351,           0.0098198,           0.0098198,           0.0098198
                  93,            0.029906,            0.010441,           0.0022849,             0.93186,             0.92591,              0.9396,             0.62509,            0.024798,            0.004747,           0.0003812,           0.0098178,           0.0098178,           0.0098178
                  94,            0.030586,            0.010518,           0.0022879,             0.95271,             0.86994,             0.93377,             0.65323,            0.024559,           0.0046515,           0.0019551,           0.0098159,           0.0098159,           0.0098159
                  95,            0.030314,            0.010334,           0.0021631,             0.97005,             0.91248,             0.95377,             0.65898,            0.024592,           0.0046136,           0.0004758,           0.0098139,           0.0098139,           0.0098139
                  96,            0.029989,            0.010696,           0.0022575,             0.94084,             0.93211,             0.94901,             0.65597,            0.023819,           0.0044598,          0.00040241,           0.0098119,           0.0098119,           0.0098119
                  97,            0.030263,            0.010443,           0.0025084,             0.92183,              0.9359,             0.94968,             0.64687,             0.02449,           0.0044832,          0.00086091,           0.0098099,           0.0098099,           0.0098099
                  98,            0.029152,            0.010011,           0.0023018,             0.96813,             0.93849,             0.95406,             0.66527,            0.024166,           0.0043586,          0.00064538,           0.0098079,           0.0098079,           0.0098079
                  99,            0.029865,            0.010283,           0.0018651,             0.94485,             0.90278,             0.93898,             0.63525,            0.025506,           0.0045879,          0.00047168,            0.009806,            0.009806,            0.009806
                 100,            0.030081,           0.0099504,           0.0026633,             0.95693,             0.92127,             0.94538,             0.65799,            0.023631,           0.0045355,          0.00040969,            0.009804,            0.009804,            0.009804
                 101,            0.030254,            0.010618,           0.0024502,              0.9261,             0.94027,             0.93445,             0.62965,            0.024198,            0.004611,           0.0004289,            0.009802,            0.009802,            0.009802
                 102,            0.029657,           0.0098053,           0.0020827,             0.95222,             0.95229,             0.96403,             0.65643,            0.024794,           0.0044487,          0.00037849,              0.0098,              0.0098,              0.0098
                 103,            0.030463,            0.010689,           0.0019251,             0.94021,             0.93407,               0.955,             0.64834,            0.024746,           0.0043544,          0.00059005,            0.009798,            0.009798,            0.009798
                 104,            0.028946,             0.01016,           0.0018245,             0.95133,             0.93538,             0.96224,             0.67311,            0.023814,           0.0044213,          0.00057906,           0.0097961,           0.0097961,           0.0097961
                 105,            0.028934,            0.010162,           0.0021154,             0.92737,             0.92398,             0.94546,             0.67551,            0.023847,           0.0045233,          0.00081788,           0.0097941,           0.0097941,           0.0097941
                 106,            0.028789,            0.010283,           0.0022463,             0.96149,             0.93573,             0.95485,             0.65594,            0.023818,           0.0043114,          0.00032002,           0.0097921,           0.0097921,           0.0097921
                 107,             0.02878,            0.010394,           0.0022451,             0.94769,             0.93075,             0.94536,             0.63982,            0.024459,           0.0044652,          0.00059931,           0.0097901,           0.0097901,           0.0097901
                 108,            0.029211,             0.01036,           0.0020143,             0.93237,             0.90696,             0.94011,             0.64027,            0.024181,           0.0044371,           0.0013598,           0.0097881,           0.0097881,           0.0097881
                 109,            0.028199,           0.0098447,             0.00239,             0.95817,             0.92754,             0.96126,             0.65613,            0.024038,           0.0044022,          0.00062266,           0.0097862,           0.0097862,           0.0097862
                 110,            0.029313,            0.010102,           0.0018921,             0.94351,             0.94675,             0.95841,             0.67743,            0.024045,           0.0044121,           0.0002519,           0.0097842,           0.0097842,           0.0097842
                 111,            0.029433,            0.010166,            0.002341,              0.9724,             0.94151,             0.96585,             0.68535,              0.0228,           0.0042477,          0.00046551,           0.0097822,           0.0097822,           0.0097822
                 112,            0.029194,           0.0097954,           0.0023898,              0.9587,              0.9194,             0.96345,             0.66974,             0.02391,           0.0042443,           0.0011506,           0.0097802,           0.0097802,           0.0097802
                 113,            0.029369,            0.010323,           0.0019208,             0.97186,             0.92745,             0.96753,             0.67018,            0.023862,           0.0044541,          0.00063612,           0.0097782,           0.0097782,           0.0097782
                 114,            0.028528,           0.0099923,           0.0020235,             0.96264,              0.9426,             0.97033,             0.67522,            0.022105,           0.0042439,          0.00042132,           0.0097763,           0.0097763,           0.0097763
                 115,            0.028156,           0.0098027,           0.0019335,             0.97235,             0.94081,             0.97488,             0.67104,             0.02429,           0.0043449,          0.00047122,           0.0097743,           0.0097743,           0.0097743
                 116,             0.02922,            0.010081,           0.0019272,             0.96835,             0.91034,             0.95666,             0.65954,            0.023428,           0.0043089,            0.001188,           0.0097723,           0.0097723,           0.0097723
                 117,            0.028788,           0.0097034,           0.0020696,             0.95174,             0.92591,             0.95982,             0.66936,            0.023127,           0.0042956,          0.00044128,           0.0097703,           0.0097703,           0.0097703
                 118,            0.029333,            0.010236,           0.0025361,             0.97139,             0.91898,             0.95859,             0.67792,             0.02379,           0.0044434,          0.00038716,           0.0097683,           0.0097683,           0.0097683
                 119,            0.028761,           0.0098891,           0.0023171,             0.96021,             0.89434,             0.94253,              0.6597,            0.023517,           0.0045541,          0.00085028,           0.0097664,           0.0097664,           0.0097664
                 120,            0.029221,            0.010418,           0.0019428,             0.96559,             0.93885,              0.9741,             0.69243,            0.023116,           0.0044307,          0.00044657,           0.0097644,           0.0097644,           0.0097644
                 121,            0.027915,           0.0099529,           0.0018635,              0.9558,             0.96157,              0.9638,             0.67549,            0.022351,           0.0042878,          0.00026037,           0.0097624,           0.0097624,           0.0097624
                 122,            0.028518,            0.009626,           0.0019029,             0.96771,             0.92385,             0.94779,             0.65786,            0.022705,           0.0043558,          0.00067122,           0.0097604,           0.0097604,           0.0097604
